Country,City,Date,Average Daily Rate
Kenya,Nairobi,11/1/2024,5764
Kenya,Nairobi,12/1/2024,6190
Kenya,Nairobi,1/1/2025,6049
Kenya,Nairobi,2/1/2025,5973
Kenya,Nairobi,3/1/2025,5720
Kenya,Nairobi,4/1/2025,5830
Kenya,Nairobi,5/1/2025,5665
Kenya,Nairobi,6/1/2025,5878
Kenya,Nairobi,7/1/2025,6147
Kenya,Nairobi,8/1/2025,6131
Kenya,Nairobi,9/1/2025,5696
Kenya,Nairobi,10/1/2025,5806
