Country,City,Date,Length of Stay
Kenya,Kiambu,11/1/2024,6.91
Kenya,Kiambu,12/1/2024,6.8
Kenya,Kiambu,1/1/2025,6.57
Kenya,Kiambu,2/1/2025,6.18
Kenya,Kiambu,3/1/2025,6.55
Kenya,Kiambu,4/1/2025,5.92
Kenya,Kiambu,5/1/2025,5.58
Kenya,Kiambu,6/1/2025,6.07
Kenya,Kiambu,7/1/2025,7.24
Kenya,Kiambu,8/1/2025,5.94
Kenya,Kiambu,9/1/2025,6.35
Kenya,Kiambu,10/1/2025,5.81
