Country,City,Date,Average Daily Rate
Kenya,Kiambu,5/1/2025,4028
Kenya,Kiambu,5/2/2025,4730
Kenya,Kiambu,5/3/2025,4854
Kenya,Kiambu,5/4/2025,3476
Kenya,Kiambu,5/5/2025,3639
Kenya,Kiambu,5/6/2025,3714
Kenya,Kiambu,5/7/2025,3587
Kenya,Kiambu,5/8/2025,3773
Kenya,Kiambu,5/9/2025,4973
Kenya,Kiambu,5/10/2025,4671
Kenya,Kiambu,5/11/2025,3953
Kenya,Kiambu,5/12/2025,3995
Kenya,Kiambu,5/13/2025,3946
Kenya,Kiambu,5/14/2025,4696
Kenya,Kiambu,5/15/2025,4578
Kenya,Kiambu,5/16/2025,4797
Kenya,Kiambu,5/17/2025,4838
Kenya,Kiambu,5/18/2025,3841
Kenya,Kiambu,5/19/2025,4078
Kenya,Kiambu,5/20/2025,4203
Kenya,Kiambu,5/21/2025,4157
Kenya,Kiambu,5/22/2025,4452
Kenya,Kiambu,5/23/2025,4525
Kenya,Kiambu,5/24/2025,4967
Kenya,Kiambu,5/25/2025,4034
Kenya,Kiambu,5/26/2025,3940
Kenya,Kiambu,5/27/2025,3889
Kenya,Kiambu,5/28/2025,3876
Kenya,Kiambu,5/29/2025,4107
Kenya,Kiambu,5/30/2025,4480
Kenya,Kiambu,5/31/2025,4759
Kenya,Kiambu,6/1/2025,4645
Kenya,Kiambu,6/2/2025,4192
Kenya,Kiambu,6/3/2025,3921
Kenya,Kiambu,6/4/2025,4093
Kenya,Kiambu,6/5/2025,3891
Kenya,Kiambu,6/6/2025,4848
Kenya,Kiambu,6/7/2025,5109
Kenya,Kiambu,6/8/2025,3912
Kenya,Kiambu,6/9/2025,4278
Kenya,Kiambu,6/10/2025,4061
Kenya,Kiambu,6/11/2025,4084
Kenya,Kiambu,6/12/2025,3995
Kenya,Kiambu,6/13/2025,4808
Kenya,Kiambu,6/14/2025,4997
Kenya,Kiambu,6/15/2025,4223
Kenya,Kiambu,6/16/2025,3886
Kenya,Kiambu,6/17/2025,4003
Kenya,Kiambu,6/18/2025,4056
Kenya,Kiambu,6/19/2025,3985
Kenya,Kiambu,6/20/2025,4312
Kenya,Kiambu,6/21/2025,4644
Kenya,Kiambu,6/22/2025,4081
Kenya,Kiambu,6/23/2025,3971
Kenya,Kiambu,6/24/2025,3988
