Country,City,Date,Average Daily Rate
Kenya,Kiambu,11/1/2024,4099
Kenya,Kiambu,12/1/2024,4477
Kenya,Kiambu,1/1/2025,4242
Kenya,Kiambu,2/1/2025,4297
Kenya,Kiambu,3/1/2025,4208
Kenya,Kiambu,4/1/2025,4112
Kenya,Kiambu,5/1/2025,4266
Kenya,Kiambu,6/1/2025,4280
Kenya,Kiambu,7/1/2025,4364
Kenya,Kiambu,8/1/2025,4404
Kenya,Kiambu,9/1/2025,4259
Kenya,Kiambu,10/1/2025,4322
