Country,City,Date,Occupancy
Kenya,Nairobi,11/1/2024,49.43
Kenya,Nairobi,12/1/2024,59.61
Kenya,Nairobi,1/1/2025,27.38
Kenya,Nairobi,2/1/2025,36.21
Kenya,Nairobi,3/1/2025,36.36
Kenya,Nairobi,4/1/2025,47
Kenya,Nairobi,5/1/2025,34.39
Kenya,Nairobi,6/1/2025,42.44
Kenya,Nairobi,7/1/2025,40.01
Kenya,Nairobi,8/1/2025,52.08
Kenya,Nairobi,9/1/2025,33.34
Kenya,Nairobi,10/1/2025,42.43
