Country,City,Date,Average Daily Rate
Kenya,Nairobi,5/1/2025,6583
Kenya,Nairobi,5/2/2025,6636
Kenya,Nairobi,5/3/2025,6606
Kenya,Nairobi,5/4/2025,5792
Kenya,Nairobi,5/5/2025,5353
Kenya,Nairobi,5/6/2025,5390
Kenya,Nairobi,5/7/2025,5479
Kenya,Nairobi,5/8/2025,6549
Kenya,Nairobi,5/9/2025,5718
Kenya,Nairobi,5/10/2025,5680
Kenya,Nairobi,5/11/2025,5466
Kenya,Nairobi,5/12/2025,5403
Kenya,Nairobi,5/13/2025,5652
Kenya,Nairobi,5/14/2025,5981
Kenya,Nairobi,5/15/2025,6171
Kenya,Nairobi,5/16/2025,6036
Kenya,Nairobi,5/17/2025,6228
Kenya,Nairobi,5/18/2025,5627
Kenya,Nairobi,5/19/2025,5358
Kenya,Nairobi,5/20/2025,5561
Kenya,Nairobi,5/21/2025,5420
Kenya,Nairobi,5/22/2025,5852
Kenya,Nairobi,5/23/2025,6359
Kenya,Nairobi,5/24/2025,6614
Kenya,Nairobi,5/25/2025,5974
Kenya,Nairobi,5/26/2025,5768
Kenya,Nairobi,5/27/2025,5968
Kenya,Nairobi,5/28/2025,5749
Kenya,Nairobi,5/29/2025,5560
Kenya,Nairobi,5/30/2025,5931
Kenya,Nairobi,5/31/2025,6358
Kenya,Nairobi,6/1/2025,6421
Kenya,Nairobi,6/2/2025,5994
Kenya,Nairobi,6/3/2025,5710
Kenya,Nairobi,6/4/2025,5516
Kenya,Nairobi,6/5/2025,5548
Kenya,Nairobi,6/6/2025,5781
Kenya,Nairobi,6/7/2025,6035
Kenya,Nairobi,6/8/2025,5704
Kenya,Nairobi,6/9/2025,5950
Kenya,Nairobi,6/10/2025,5666
Kenya,Nairobi,6/11/2025,5732
Kenya,Nairobi,6/12/2025,5581
Kenya,Nairobi,6/13/2025,5907
Kenya,Nairobi,6/14/2025,6123
Kenya,Nairobi,6/15/2025,5966
Kenya,Nairobi,6/16/2025,5801
Kenya,Nairobi,6/17/2025,5818
Kenya,Nairobi,6/18/2025,5899
Kenya,Nairobi,6/19/2025,5894
Kenya,Nairobi,6/20/2025,6152
Kenya,Nairobi,6/21/2025,6097
Kenya,Nairobi,6/22/2025,5366
Kenya,Nairobi,6/23/2025,5310
Kenya,Nairobi,6/24/2025,5568
Kenya,Nairobi,6/25/2025,5737
Kenya,Nairobi,6/26/2025,6010
Kenya,Nairobi,6/27/2025,6167
Kenya,Nairobi,6/28/2025,6426
Kenya,Nairobi,6/29/2025,5887
Kenya,Nairobi,6/30/2025,5698
Kenya,Nairobi,7/1/2025,5608
Kenya,Nairobi,7/2/2025,5932
Kenya,Nairobi,7/3/2025,6518
Kenya,Nairobi,7/4/2025,6832
Kenya,Nairobi,7/5/2025,6962
Kenya,Nairobi,7/6/2025,6440
Kenya,Nairobi,7/7/2025,6455
Kenya,Nairobi,7/8/2025,6707
Kenya,Nairobi,7/9/2025,6516
Kenya,Nairobi,7/10/2025,6726
Kenya,Nairobi,7/11/2025,7113
Kenya,Nairobi,7/12/2025,6958
Kenya,Nairobi,7/13/2025,6489
Kenya,Nairobi,7/14/2025,6444
Kenya,Nairobi,7/15/2025,6615
Kenya,Nairobi,7/16/2025,6701
Kenya,Nairobi,7/17/2025,6591
Kenya,Nairobi,7/18/2025,6594
Kenya,Nairobi,7/19/2025,6801
Kenya,Nairobi,7/20/2025,6459
Kenya,Nairobi,7/21/2025,6270
Kenya,Nairobi,7/22/2025,6594
Kenya,Nairobi,7/23/2025,6485
Kenya,Nairobi,7/24/2025,6678
Kenya,Nairobi,7/25/2025,7003
Kenya,Nairobi,7/26/2025,7081
Kenya,Nairobi,7/27/2025,6890
Kenya,Nairobi,7/28/2025,7021
Kenya,Nairobi,7/29/2025,6994
Kenya,Nairobi,7/30/2025,6900
Kenya,Nairobi,7/31/2025,6717
Kenya,Nairobi,8/1/2025,7544
Kenya,Nairobi,8/2/2025,7765
Kenya,Nairobi,8/3/2025,7826
Kenya,Nairobi,8/4/2025,7558
Kenya,Nairobi,8/5/2025,7378
Kenya,Nairobi,8/6/2025,7615
Kenya,Nairobi,8/7/2025,7593
Kenya,Nairobi,8/8/2025,7915
Kenya,Nairobi,8/9/2025,8090
Kenya,Nairobi,8/10/2025,7843
Kenya,Nairobi,8/11/2025,7693
Kenya,Nairobi,8/12/2025,7454
Kenya,Nairobi,8/13/2025,7355
Kenya,Nairobi,8/14/2025,7843
Kenya,Nairobi,8/15/2025,7862
Kenya,Nairobi,8/16/2025,7918
Kenya,Nairobi,8/17/2025,7734
Kenya,Nairobi,8/18/2025,7457
Kenya,Nairobi,8/19/2025,7551
Kenya,Nairobi,8/20/2025,7520
Kenya,Nairobi,8/21/2025,7585
Kenya,Nairobi,8/22/2025,7527
Kenya,Nairobi,8/23/2025,7523
