Country,City,Date,Length of Stay
Kenya,Nakuru,11/1/2024,3.5
Kenya,Nakuru,12/1/2024,3.45
Kenya,Nakuru,1/1/2025,4.16
Kenya,Nakuru,2/1/2025,3.43
Kenya,Nakuru,3/1/2025,3.88
Kenya,Nakuru,4/1/2025,3.46
Kenya,Nakuru,5/1/2025,2.64
Kenya,Nakuru,6/1/2025,3
Kenya,Nakuru,7/1/2025,2.88
Kenya,Nakuru,8/1/2025,3.22
Kenya,Nakuru,9/1/2025,3.06
Kenya,Nakuru,10/1/2025,2.91
