Country,City,Date,Average Daily Rate
Kenya,Nakuru,11/1/2024,9812
Kenya,Nakuru,12/1/2024,10848
Kenya,Nakuru,1/1/2025,10544
Kenya,Nakuru,2/1/2025,11627
Kenya,Nakuru,3/1/2025,9755
Kenya,Nakuru,4/1/2025,8754
Kenya,Nakuru,5/1/2025,8230
Kenya,Nakuru,6/1/2025,9395
Kenya,Nakuru,7/1/2025,11023
Kenya,Nakuru,8/1/2025,10500
Kenya,Nakuru,9/1/2025,9420
Kenya,Nakuru,10/1/2025,10774
