Country,City,Date,Listing Days Booked,Booked Listings
Kenya,Nakuru,11/1/2024,3989,463
Kenya,Nakuru,12/1/2024,7734,710
Kenya,Nakuru,1/1/2025,4502,534
Kenya,Nakuru,2/1/2025,3541,430
Kenya,Nakuru,3/1/2025,5128,658
Kenya,Nakuru,4/1/2025,5225,634
Kenya,Nakuru,5/1/2025,3818,592
Kenya,Nakuru,6/1/2025,4482,603
Kenya,Nakuru,7/1/2025,3948,466
Kenya,Nakuru,8/1/2025,5126,570
Kenya,Nakuru,9/1/2025,4493,530
Kenya,Nakuru,10/1/2025,4798,543
