Country,City,Date,Average Daily Rate
Kenya,Nairobi,5/1/2025,5878
Kenya,Nairobi,5/2/2025,5911
Kenya,Nairobi,5/3/2025,5895
Kenya,Nairobi,5/4/2025,5741
Kenya,Nairobi,5/5/2025,5670
Kenya,Nairobi,5/6/2025,5648
Kenya,Nairobi,5/7/2025,5680
Kenya,Nairobi,5/8/2025,5670
Kenya,Nairobi,5/9/2025,5676
Kenya,Nairobi,5/10/2025,5689
Kenya,Nairobi,5/11/2025,5534
Kenya,Nairobi,5/12/2025,5614
Kenya,Nairobi,5/13/2025,5688
Kenya,Nairobi,5/14/2025,5671
Kenya,Nairobi,5/15/2025,5626
Kenya,Nairobi,5/16/2025,5697
Kenya,Nairobi,5/17/2025,5731
Kenya,Nairobi,5/18/2025,5596
Kenya,Nairobi,5/19/2025,5494
Kenya,Nairobi,5/20/2025,5525
Kenya,Nairobi,5/21/2025,5504
Kenya,Nairobi,5/22/2025,5573
Kenya,Nairobi,5/23/2025,5634
Kenya,Nairobi,5/24/2025,5716
Kenya,Nairobi,5/25/2025,5597
Kenya,Nairobi,5/26/2025,5569
Kenya,Nairobi,5/27/2025,5599
Kenya,Nairobi,5/28/2025,5635
Kenya,Nairobi,5/29/2025,5652
Kenya,Nairobi,5/30/2025,5693
Kenya,Nairobi,5/31/2025,5777
Kenya,Nairobi,6/1/2025,5583
Kenya,Nairobi,6/2/2025,5602
Kenya,Nairobi,6/3/2025,5720
Kenya,Nairobi,6/4/2025,5823
Kenya,Nairobi,6/5/2025,5935
Kenya,Nairobi,6/6/2025,6033
Kenya,Nairobi,6/7/2025,5884
Kenya,Nairobi,6/8/2025,5696
Kenya,Nairobi,6/9/2025,5684
Kenya,Nairobi,6/10/2025,5778
Kenya,Nairobi,6/11/2025,5801
Kenya,Nairobi,6/12/2025,5814
Kenya,Nairobi,6/13/2025,5970
Kenya,Nairobi,6/14/2025,6023
Kenya,Nairobi,6/15/2025,5849
Kenya,Nairobi,6/16/2025,5911
Kenya,Nairobi,6/17/2025,5934
Kenya,Nairobi,6/18/2025,5877
Kenya,Nairobi,6/19/2025,5965
Kenya,Nairobi,6/20/2025,5978
Kenya,Nairobi,6/21/2025,5961
Kenya,Nairobi,6/22/2025,5845
Kenya,Nairobi,6/23/2025,5837
Kenya,Nairobi,6/24/2025,5868
Kenya,Nairobi,6/25/2025,5908
Kenya,Nairobi,6/26/2025,5945
Kenya,Nairobi,6/27/2025,5996
Kenya,Nairobi,6/28/2025,6041
Kenya,Nairobi,6/29/2025,5922
Kenya,Nairobi,6/30/2025,5912
Kenya,Nairobi,7/1/2025,6056
Kenya,Nairobi,7/2/2025,6038
Kenya,Nairobi,7/3/2025,6170
Kenya,Nairobi,7/4/2025,6134
Kenya,Nairobi,7/5/2025,6159
Kenya,Nairobi,7/6/2025,6088
Kenya,Nairobi,7/7/2025,6055
Kenya,Nairobi,7/8/2025,6099
Kenya,Nairobi,7/9/2025,6055
Kenya,Nairobi,7/10/2025,6108
Kenya,Nairobi,7/11/2025,6135
Kenya,Nairobi,7/12/2025,6099
Kenya,Nairobi,7/13/2025,5963
Kenya,Nairobi,7/14/2025,5939
Kenya,Nairobi,7/15/2025,6025
Kenya,Nairobi,7/16/2025,6297
Kenya,Nairobi,7/17/2025,6327
Kenya,Nairobi,7/18/2025,6325
Kenya,Nairobi,7/19/2025,6372
Kenya,Nairobi,7/20/2025,6270
Kenya,Nairobi,7/21/2025,6291
Kenya,Nairobi,7/22/2025,6126
Kenya,Nairobi,7/23/2025,6098
Kenya,Nairobi,7/24/2025,6093
Kenya,Nairobi,7/25/2025,6160
Kenya,Nairobi,7/26/2025,6208
Kenya,Nairobi,7/27/2025,6056
Kenya,Nairobi,7/28/2025,6116
Kenya,Nairobi,7/29/2025,6148
Kenya,Nairobi,7/30/2025,6211
Kenya,Nairobi,7/31/2025,6257
Kenya,Nairobi,8/1/2025,6447
Kenya,Nairobi,8/2/2025,6348
Kenya,Nairobi,8/3/2025,6132
Kenya,Nairobi,8/4/2025,6205
Kenya,Nairobi,8/5/2025,6242
Kenya,Nairobi,8/6/2025,6188
Kenya,Nairobi,8/7/2025,6186
Kenya,Nairobi,8/8/2025,6271
Kenya,Nairobi,8/9/2025,6273
Kenya,Nairobi,8/10/2025,6190
Kenya,Nairobi,8/11/2025,6249
Kenya,Nairobi,8/12/2025,6263
Kenya,Nairobi,8/13/2025,6217
Kenya,Nairobi,8/14/2025,6259
Kenya,Nairobi,8/15/2025,6208
Kenya,Nairobi,8/16/2025,6168
Kenya,Nairobi,8/17/2025,6047
Kenya,Nairobi,8/18/2025,5992
Kenya,Nairobi,8/19/2025,5984
Kenya,Nairobi,8/20/2025,6026
Kenya,Nairobi,8/21/2025,6094
Kenya,Nairobi,8/22/2025,6146
Kenya,Nairobi,8/23/2025,6138
Kenya,Nairobi,8/24/2025,6000
Kenya,Nairobi,8/25/2025,5975
Kenya,Nairobi,8/26/2025,5956
Kenya,Nairobi,8/27/2025,5953
Kenya,Nairobi,8/28/2025,5946
