Country,City,Date,Length of Stay
Kenya,Nairobi,11/1/2024,6.78
Kenya,Nairobi,12/1/2024,6.33
Kenya,Nairobi,1/1/2025,7.05
Kenya,Nairobi,2/1/2025,6.15
Kenya,Nairobi,3/1/2025,6.37
Kenya,Nairobi,4/1/2025,6
Kenya,Nairobi,5/1/2025,6.32
Kenya,Nairobi,6/1/2025,6.32
Kenya,Nairobi,7/1/2025,6.39
Kenya,Nairobi,8/1/2025,6.04
Kenya,Nairobi,9/1/2025,6.08
Kenya,Nairobi,10/1/2025,6.16
