Country,City,Date,Listing Days Booked,Booked Listings
Kenya,Nairobi,11/1/2024,63032,4378
Kenya,Nairobi,12/1/2024,87969,5229
Kenya,Nairobi,1/1/2025,78899,4978
Kenya,Nairobi,2/1/2025,69294,4845
Kenya,Nairobi,3/1/2025,66876,4580
Kenya,Nairobi,4/1/2025,66182,4630
Kenya,Nairobi,5/1/2025,63766,4609
Kenya,Nairobi,6/1/2025,71539,4970
Kenya,Nairobi,7/1/2025,82797,5259
Kenya,Nairobi,8/1/2025,87816,5579
Kenya,Nairobi,9/1/2025,71536,5163
Kenya,Nairobi,10/1/2025,74225,5146
